stop_id,stop_name,stop_desc,platform_code,ja-Hrkt,en,zh-Hans,zh-Hant,ko,Flat,Comm Pass,Ward
3310,河原町三条,河原町三条(D),D,かわらまちさんじょう,Kawaramachi Sanjo,河原町三条,河原町三条,가와라마치산조,0,1,中
3320,河原町三条,河原町三条(C),C,かわらまちさんじょう,Kawaramachi Sanjo,河原町三条,河原町三条,가와라마치산조,0,1,中
3330,河原町三条,河原町三条(B),B,かわらまちさんじょう,Kawaramachi Sanjo,河原町三条,河原町三条,가와라마치산조,0,1,中
3340,河原町三条,河原町三条(A),A,かわらまちさんじょう,Kawaramachi Sanjo,河原町三条,河原町三条,가와라마치산조,0,1,中
3410,河原町三条,河原町三条(H),H,かわらまちさんじょう,Kawaramachi Sanjo,河原町三条,河原町三条,가와라마치산조,0,1,中
3420,河原町三条,河原町三条(G),G,かわらまちさんじょう,Kawaramachi Sanjo,河原町三条,河原町三条,가와라마치산조,0,1,中
3430,河原町三条,河原町三条(F),F,かわらまちさんじょう,Kawaramachi Sanjo,河原町三条,河原町三条,가와라마치산조,0,1,中
3440,河原町三条,河原町三条(E),E,かわらまちさんじょう,Kawaramachi Sanjo,河原町三条,河原町三条,가와라마치산조,0,1,中
4110,京都市役所前,京都市役所前(B),B,きょうとしやくしょまえ,Kyoto Shiyakusho-mae (Kyoto City Hall),京都市役所前（京都市政府）,京都市役所前（京都市政府）,교토시야쿠쇼마에（교토시청）,0,1,中
4120,京都市役所前,京都市役所前(D),D,きょうとしやくしょまえ,Kyoto Shiyakusho-mae (Kyoto City Hall),京都市役所前（京都市政府）,京都市役所前（京都市政府）,교토시야쿠쇼마에（교토시청）,0,1,中
4200,京都市役所前,京都市役所前(C),C,きょうとしやくしょまえ,Kyoto Shiyakusho-mae (Kyoto City Hall),京都市役所前（京都市政府）,京都市役所前（京都市政府）,교토시야쿠쇼마에（교토시청）,0,1,中
4300,京都市役所前,京都市役所前(A),A,きょうとしやくしょまえ,Kyoto Shiyakusho-mae (Kyoto City Hall),京都市役所前（京都市政府）,京都市役所前（京都市政府）,교토시야쿠쇼마에（교토시청）,0,1,中
4400,京都市役所前,京都市役所前(E),E,きょうとしやくしょまえ,Kyoto Shiyakusho-mae (Kyoto City Hall),京都市役所前（京都市政府）,京都市役所前（京都市政府）,교토시야쿠쇼마에（교토시청）,0,1,中
5100,河原町丸太町,河原町丸太町(D),D,かわらまちまるたまち,Kawaramachi Marutamachi,河原町丸太町,河原町丸太町,가와라마치마루타마치,0,1,上
5200,河原町丸太町,河原町丸太町(B),B,かわらまちまるたまち,Kawaramachi Marutamachi,河原町丸太町,河原町丸太町,가와라마치마루타마치,0,1,上
5300,河原町丸太町,河原町丸太町(A),A,かわらまちまるたまち,Kawaramachi Marutamachi,河原町丸太町,河原町丸太町,가와라마치마루타마치,0,1,上
5400,河原町丸太町,河原町丸太町(C),C,かわらまちまるたまち,Kawaramachi Marutamachi,河原町丸太町,河原町丸太町,가와라마치마루타마치,0,1,上
6300,府立医大病院前,府立医大病院前(南行),A,ふりついだいびょういんまえ,Furitsu Idaibyoin-mae (University Hospital / Kyoto Prefectural University of Medicine),府立医大病院前（京都府立医科大学医院）,府立醫大病院前（京都府立醫科大學附屬醫院）,후리쓰이다이뵤인마에（교토부립의과대학부속병원）,0,1,上
6400,府立医大病院前,府立医大病院前(北行),B,ふりついだいびょういんまえ,Furitsu Idaibyoin-mae (University Hospital / Kyoto Prefectural University of Medicine),府立医大病院前（京都府立医科大学医院）,府立醫大病院前（京都府立醫科大學附屬醫院）,후리쓰이다이뵤인마에（교토부립의과대학부속병원）,0,1,上
8110,河原町今出川,河原町今出川(A),A,かわらまちいまでがわ,Kawaramachi Imadegawa,河原町今出川,河原町今出川,가와라마치이마데가와,0,1,上
8120,河原町今出川,河原町今出川(E),E,かわらまちいまでがわ,Kawaramachi Imadegawa,河原町今出川,河原町今出川,가와라마치이마데가와,0,1,上
8200,河原町今出川,河原町今出川(D),D,かわらまちいまでがわ,Kawaramachi Imadegawa,河原町今出川,河原町今出川,가와라마치이마데가와,0,1,上
8300,河原町今出川,河原町今出川(B),B,かわらまちいまでがわ,Kawaramachi Imadegawa,河原町今出川,河原町今出川,가와라마치이마데가와,0,1,上
8400,河原町今出川,河原町今出川(C),C,かわらまちいまでがわ,Kawaramachi Imadegawa,河原町今出川,河原町今出川,가와라마치이마데가와,0,1,上
9100,出町柳駅前,出町柳駅前(B),B,でまちやなぎえきまえ,Demachiyanagi Station,出町柳站前,出町柳車站前,데마치야나기에키마에,0,1,上
9200,出町柳駅前,出町柳駅前(A),A,でまちやなぎえきまえ,Demachiyanagi Station,出町柳站前,出町柳車站前,데마치야나기에키마에,0,1,上
9310,出町柳駅前,出町柳駅前(D),D,でまちやなぎえきまえ,Demachiyanagi Station,出町柳站前,出町柳車站前,데마치야나기에키마에,0,1,上
9400,出町柳駅前,出町柳駅前(C),C,でまちやなぎえきまえ,Demachiyanagi Station,出町柳站前,出町柳車站前,데마치야나기에키마에,0,1,上
10300,新葵橋,新葵橋(南行),,しんあおいばし,Shin-Aoibashi,新葵桥,新葵橋,신아오이바시,0,1,左
10400,新葵橋,新葵橋(北行),,しんあおいばし,Shin-Aoibashi,新葵桥,新葵橋,신아오이바시,0,1,左
11300,糺ノ森,糺ノ森(南行),,ただすのもり,Tadasunomori,纠之森,糺之森,다다스노모리,0,1,左
11400,糺ノ森,糺ノ森(北行),,ただすのもり,Tadasunomori,纠之森,糺之森,다다스노모리,0,1,左
12300,下鴨神社前,下鴨神社前(南行),A,しもがもじんじゃまえ,Shimogamo Jinja-mae (Shimogamo-jinja Shrine),下鸭神社前,下鴨神社前,시모가모진자마에,0,1,左
12400,下鴨神社前,下鴨神社前(北行),B,しもがもじんじゃまえ,Shimogamo Jinja-mae (Shimogamo-jinja Shrine),下鸭神社前,下鴨神社前,시모가모진자마에,0,1,左
13300,一本松,一本松(南行),,いっぽんまつ,Ipponmatsu,一本松,一本松,잇폰마쓰,0,1,左
13400,一本松,一本松(北行),,いっぽんまつ,Ipponmatsu,一本松,一本松,잇폰마쓰,0,1,左
14100,洛北高校前,洛北高校前(A),A,らくほくこうこうまえ,Rakuhoku Koko-mae,洛北高中前,洛北高校前,라쿠호쿠코코마에,0,1,左
14200,洛北高校前,洛北高校前(D),D,らくほくこうこうまえ,Rakuhoku Koko-mae,洛北高中前,洛北高校前,라쿠호쿠코코마에,0,1,左
14300,洛北高校前,洛北高校前(B),B,らくほくこうこうまえ,Rakuhoku Koko-mae,洛北高中前,洛北高校前,라쿠호쿠코코마에,0,1,左
14400,洛北高校前,洛北高校前(C),C,らくほくこうこうまえ,Rakuhoku Koko-mae,洛北高中前,洛北高校前,라쿠호쿠코코마에,0,1,左
15100,府立大学前,府立大学前(東行),A,ふりつだいがくまえ,Furitsu Daigaku-mae (Kyoto Prefectural University),府立大学前（京都府立大学）,府立大學前（京都府立大學）,후리쓰다이가쿠마에（교토부립대학）,0,1,左
15200,府立大学前,府立大学前(西行),B,ふりつだいがくまえ,Furitsu Daigaku-mae (Kyoto Prefectural University),府立大学前（京都府立大学）,府立大學前（京都府立大學）,후리쓰다이가쿠마에（교토부립대학）,0,1,左
16100,植物園前,植物園前(東行),A,しょくぶつえんまえ,Shokubutsuen-mae (Botanical Gardens),植物园前,植物園前,쇼쿠부쓰엔마에,0,1,左
16200,植物園前,植物園前(西行),B,しょくぶつえんまえ,Shokubutsuen-mae (Botanical Gardens),植物园前,植物園前,쇼쿠부쓰엔마에,0,1,左
17100,烏丸北大路,烏丸北大路(A),A,からすまきたおおじ,Karasuma Kitaoji,乌丸北大路,烏丸北大路,가라스마키타오지,0,1,北
17200,烏丸北大路,烏丸北大路(B),B,からすまきたおおじ,Karasuma Kitaoji,乌丸北大路,烏丸北大路,가라스마키타오지,0,1,北
17300,烏丸北大路,烏丸北大路(C),C,からすまきたおおじ,Karasuma Kitaoji,乌丸北大路,烏丸北大路,가라스마키타오지,0,1,北
17400,烏丸北大路,烏丸北大路(D),D,からすまきたおおじ,Karasuma Kitaoji,乌丸北大路,烏丸北大路,가라스마키타오지,0,1,北
18100,北大路新町,北大路新町(東行),A,きたおおじしんまち,Kitaoji Shinmachi,北大路新町,北大路新町,기타오지신마치,0,1,北
18200,北大路新町,北大路新町(西行),,きたおおじしんまち,Kitaoji Shinmachi,北大路新町,北大路新町,기타오지신마치,0,1,北
20100,元町,元町(東行),,もとまち,Motomachi,元町,元町,모토마치,0,1,北
20200,元町,元町(西行),,もとまち,Motomachi,元町,元町,모토마치,0,1,北
21100,上堀川,上堀川(A),A,かみほりかわ,Kami-Horikawa,上堀川,上堀川,가미호리카와,0,1,北
21200,上堀川,上堀川(B),B,かみほりかわ,Kami-Horikawa,上堀川,上堀川,가미호리카와,0,1,北
